Strain,Test,Marker,Call
CE2_R_11_3113,hexMLST,CAMP1124,5
CE2_R_11_3113,hexMLST,CAMP0338,5
CE2_R_11_3113,hexMLST,CAMP1211,5
CE2_R_11_3113,hexMLST,CAMP1042,5
CE2_R_11_3113,hexMLST,CAMP1048,4
CE2_R_11_3113,hexMLST,CAMP0104,2
CE2_R_11_3113,hexMLST,CAMP1355,88
CE2_R_11_3113,hexMLST,CAMP0100,23
CE2_R_11_3113,hexMLST,CAMP1357,117
CE2_R_11_3113,hexMLST,CAMP0111,2
CE2_R_11_3113,hexMLST,CAMP1529,5
CE2_R_11_3113,hexMLST,CAMP0532,
CE2_R_11_3113,hexMLST,CAMP0633,5
CE2_R_11_3113,hexMLST,CAMP0535,5
CE2_R_11_3113,hexMLST,CAMP0905,5
CE2_R_11_3113,hexMLST,CAMP1116,5
CE2_R_11_3113,hexMLST,CAMP1262,27
CE2_R_11_3113,hexMLST,CAMP1053,5
CE2_R_11_3113,hexMLST,CAMP0059,2
CE2_R_11_3113,hexMLST,CAMP1198,51
CE2_R_11_3113,hexMLST,CAMP0399,5
CE2_R_11_3113,hexMLST,CAMP0117,44
CE2_R_11_3113,hexMLST,CAMP0502,28
CE2_R_11_3113,hexMLST,CAMP0052,2
CE2_R_11_3113,hexMLST,CAMP0501,25
CE2_R_11_3113,hexMLST,CAMP1197,3
CE2_R_11_3113,hexMLST,CAMP0504,25
CE2_R_11_3113,hexMLST,CAMP0505,21
CE2_R_11_3113,hexMLST,CAMP0918,26
CE2_R_11_3113,hexMLST,CAMP0626,5
CE2_R_11_3113,hexMLST,CAMP0857,24
CE2_R_11_3113,hexMLST,CAMP1294,5
CE2_R_11_3113,hexMLST,CAMP1104,3
CE2_R_11_3113,hexMLST,CAMP0597,5
CE2_R_11_3113,hexMLST,CAMP1100,5
CE2_R_11_3113,hexMLST,CAMP1581,5
CE2_R_11_3113,hexMLST,CAMP0455,5
CE2_R_11_3113,hexMLST,CAMP1275,3
CE2_R_11_3113,hexMLST,CAMP0355,49
CE2_R_11_3113,hexMLST,CAMP1185,56
CE2_R_11_3113,hexMLST,CAMP0041,2
CE2_R_11_3113,hexMLST,CAMP1186,5
CE2_R_11_3113,hexMLST,CAMP1372,5
CE2_R_11_3113,hexMLST,CAMP0757,29
CE2_R_11_3113,hexMLST,CAMP0755,19
CE2_R_11_3113,hexMLST,CAMP1502,5
CE2_R_11_3113,hexMLST,CAMP0969,28
CE2_R_11_3113,hexMLST,CAMP1508,5
CE2_R_11_3113,hexMLST,CAMP0614,5
CE2_R_11_3113,hexMLST,CAMP0967,5
CE2_R_11_3113,hexMLST,CAMP1503,4
CE2_R_11_3113,hexMLST,CAMP0847,4
08_5603,hexMLST,CAMP1074,22
08_5603,hexMLST,CAMP0367,1
08_5603,hexMLST,CAMP0768,1
08_5603,hexMLST,CAMP1364,1
08_5603,hexMLST,CAMP1571,1
08_5603,hexMLST,CAMP1578,1
08_5603,hexMLST,CAMP0972,13
08_5603,hexMLST,CAMP0471,37
08_5603,hexMLST,CAMP0374,1
08_5603,hexMLST,CAMP0273,37
08_5603,hexMLST,CAMP1311,1
08_5603,hexMLST,CAMP1313,7
08_5603,hexMLST,CAMP0775,24
08_5603,hexMLST,CAMP1322,28
08_5603,hexMLST,CAMP1319,14
08_5603,hexMLST,CAMP1567,1
08_5603,hexMLST,CAMP1085,25
08_5603,hexMLST,CAMP0572,41
08_5603,hexMLST,CAMP0867,1
08_5603,hexMLST,CAMP1568,1
08_5603,hexMLST,CAMP0881,1
08_5603,hexMLST,CAMP0015,35
08_5603,hexMLST,CAMP1301,1
08_5603,hexMLST,CAMP1158,1
08_5603,hexMLST,CAMP0950,19
08_5603,hexMLST,CAMP1411,1
08_5603,hexMLST,CAMP1416,1
08_5603,hexMLST,CAMP0540,25
08_5603,hexMLST,CAMP1022,11
08_5603,hexMLST,CAMP0319,21
08_5603,hexMLST,CAMP0792,40
08_5603,hexMLST,CAMP0791,38
08_5603,hexMLST,CAMP1541,1
08_5603,hexMLST,CAMP0556,1
08_5603,hexMLST,CAMP0351,1
08_5603,hexMLST,CAMP0496,27
08_5603,hexMLST,CAMP1384,1
08_5603,hexMLST,CAMP1280,1
08_5603,hexMLST,CAMP0565,1
08_5603,hexMLST,CAMP0138,1
08_5603,hexMLST,CAMP1208,1
08_5603,hexMLST,CAMP1430,1
08_5603,hexMLST,CAMP1432,1
08_5603,hexMLST,CAMP1019,1
08_5603,hexMLST,CAMP1537,1
08_5603,hexMLST,CAMP0182,2
08_5603,hexMLST,CAMP0028,10
08_5603,hexMLST,CAMP0024,14
08_5603,hexMLST,CAMP1124,36
08_5603,hexMLST,CAMP0338,1
08_5603,hexMLST,CAMP1211,45
08_5603,hexMLST,CAMP1042,1
08_5603,hexMLST,CAMP1048,1
08_5603,hexMLST,CAMP0104,37
08_5603,hexMLST,CAMP1355,1
08_5603,hexMLST,CAMP0100,1
08_5603,hexMLST,CAMP1357,1
08_5603,hexMLST,CAMP0111,35
08_5603,hexMLST,CAMP1529,24
08_5603,hexMLST,CAMP0532,1
08_5603,hexMLST,CAMP0633,36
08_5603,hexMLST,CAMP0535,24
08_5603,hexMLST,CAMP0905,1
08_5603,hexMLST,CAMP1116,1
08_5603,hexMLST,CAMP1262,36
08_5603,hexMLST,CAMP1053,1
08_5603,hexMLST,CAMP0059,1
08_5603,hexMLST,CAMP1198,36
08_5603,hexMLST,CAMP0399,1
08_5603,hexMLST,CAMP0117,1
08_5603,hexMLST,CAMP0502,32
08_5603,hexMLST,CAMP0052,13
08_5603,hexMLST,CAMP0501,41
08_5603,hexMLST,CAMP1197,25
08_5603,hexMLST,CAMP0504,
08_5603,hexMLST,CAMP0505,36
08_5603,hexMLST,CAMP0918,1
08_5603,hexMLST,CAMP0626,40
08_5603,hexMLST,CAMP0857,27
08_5603,hexMLST,CAMP1294,1
08_5603,hexMLST,CAMP1104,27
08_5603,hexMLST,CAMP0597,42
08_5603,hexMLST,CAMP1100,39
08_5603,hexMLST,CAMP1581,1
08_5603,hexMLST,CAMP0455,1
08_5603,hexMLST,CAMP1275,39
08_5603,hexMLST,CAMP0355,1
08_5603,hexMLST,CAMP1185,1
08_5603,hexMLST,CAMP0041,1
08_5603,hexMLST,CAMP1186,1
08_5603,hexMLST,CAMP1372,1
08_5603,hexMLST,CAMP0757,35
08_5603,hexMLST,CAMP0755,1
08_5603,hexMLST,CAMP1502,24
08_5603,hexMLST,CAMP0969,1
08_5603,hexMLST,CAMP1508,37
08_5603,hexMLST,CAMP0614,1
08_5603,hexMLST,CAMP0967,1
08_5603,hexMLST,CAMP1503,1
08_5603,hexMLST,CAMP0847,1
07_0549,hexMLST,CAMP1074,35
07_0549,hexMLST,CAMP0367,63
07_0549,hexMLST,CAMP0768,41
07_0549,hexMLST,CAMP1364,133
07_0549,hexMLST,CAMP1571,43
07_0549,hexMLST,CAMP1578,40
07_0549,hexMLST,CAMP0972,95
07_0549,hexMLST,CAMP0471,94
07_0549,hexMLST,CAMP0374,70
07_0549,hexMLST,CAMP0273,125
07_0549,hexMLST,CAMP1311,47
07_0549,hexMLST,CAMP1313,86
07_0549,hexMLST,CAMP0775,34
07_0549,hexMLST,CAMP1322,49
07_0549,hexMLST,CAMP1319,38
07_0549,hexMLST,CAMP1567,67
07_0549,hexMLST,CAMP1085,30
07_0549,hexMLST,CAMP0572,41
07_0549,hexMLST,CAMP0867,98
07_0549,hexMLST,CAMP1568,39
07_0549,hexMLST,CAMP0881,52
07_0549,hexMLST,CAMP0015,35
07_0549,hexMLST,CAMP1301,42
07_0549,hexMLST,CAMP1158,25
07_0549,hexMLST,CAMP0950,100
07_0549,hexMLST,CAMP1411,13
07_0549,hexMLST,CAMP1416,83
07_0549,hexMLST,CAMP0540,45
07_0549,hexMLST,CAMP1022,
07_0549,hexMLST,CAMP0319,40
07_0549,hexMLST,CAMP0792,48
07_0549,hexMLST,CAMP0791,44
07_0549,hexMLST,CAMP1541,129
07_0549,hexMLST,CAMP0556,38
07_0549,hexMLST,CAMP0351,36
07_0549,hexMLST,CAMP0496,25
07_0549,hexMLST,CAMP1384,52
07_0549,hexMLST,CAMP1280,118
07_0549,hexMLST,CAMP0565,136
07_0549,hexMLST,CAMP0138,113
07_0549,hexMLST,CAMP1208,68
07_0549,hexMLST,CAMP1430,64
07_0549,hexMLST,CAMP1432,4
07_0549,hexMLST,CAMP1019,94
07_0549,hexMLST,CAMP1537,42
07_0549,hexMLST,CAMP0182,32
07_0549,hexMLST,CAMP0028,104
07_0549,hexMLST,CAMP0024,145
07_0549,hexMLST,CAMP1124,116
07_0549,hexMLST,CAMP0338,37
07_0549,hexMLST,CAMP1211,126
07_0549,hexMLST,CAMP1042,58
07_0549,hexMLST,CAMP1048,38
07_0549,hexMLST,CAMP0104,43
07_0549,hexMLST,CAMP1355,103
07_0549,hexMLST,CAMP0100,45
07_0549,hexMLST,CAMP1357,113
07_0549,hexMLST,CAMP0111,39
07_0549,hexMLST,CAMP1529,42
07_0549,hexMLST,CAMP0532,114
07_0549,hexMLST,CAMP0633,87
07_0549,hexMLST,CAMP0535,42
07_0549,hexMLST,CAMP0905,
07_0549,hexMLST,CAMP1116,95
07_0549,hexMLST,CAMP1262,119
07_0549,hexMLST,CAMP1053,61
07_0549,hexMLST,CAMP0059,88
07_0549,hexMLST,CAMP1198,49
07_0549,hexMLST,CAMP0399,45
07_0549,hexMLST,CAMP0117,73
07_0549,hexMLST,CAMP0502,
07_0549,hexMLST,CAMP0052,86
07_0549,hexMLST,CAMP0501,5
07_0549,hexMLST,CAMP1197,29
07_0549,hexMLST,CAMP0504,44
07_0549,hexMLST,CAMP0505,51
07_0549,hexMLST,CAMP0918,44
07_0549,hexMLST,CAMP0626,154
07_0549,hexMLST,CAMP0857,45
07_0549,hexMLST,CAMP1294,98
07_0549,hexMLST,CAMP1104,27
07_0549,hexMLST,CAMP0597,47
07_0549,hexMLST,CAMP1100,108
07_0549,hexMLST,CAMP1581,21
07_0549,hexMLST,CAMP0455,78
07_0549,hexMLST,CAMP1275,125
07_0549,hexMLST,CAMP0355,72
07_0549,hexMLST,CAMP1185,51
07_0549,hexMLST,CAMP0041,1
07_0549,hexMLST,CAMP1186,43
07_0549,hexMLST,CAMP1372,107
07_0549,hexMLST,CAMP0757,51
07_0549,hexMLST,CAMP0755,38
07_0549,hexMLST,CAMP1502,37
07_0549,hexMLST,CAMP0969,50
07_0549,hexMLST,CAMP1508,42
07_0549,hexMLST,CAMP0614,23
07_0549,hexMLST,CAMP0967,132
07_0549,hexMLST,CAMP1503,48
07_0549,hexMLST,CAMP0847,39
CI_0346,hexMLST,CAMP1074,22
CI_0346,hexMLST,CAMP0367,1
CI_0346,hexMLST,CAMP0768,1
CI_0346,hexMLST,CAMP1364,14
CI_0346,hexMLST,CAMP1571,1
CI_0346,hexMLST,CAMP1578,1
CI_0346,hexMLST,CAMP0972,1
CI_0346,hexMLST,CAMP0471,37
CI_0346,hexMLST,CAMP0374,14
CI_0346,hexMLST,CAMP0273,1
CI_0346,hexMLST,CAMP1311,13
CI_0346,hexMLST,CAMP1313,7
CI_0346,hexMLST,CAMP0775,24
CI_0346,hexMLST,CAMP1322,36
CI_0346,hexMLST,CAMP1319,14
CI_0346,hexMLST,CAMP1567,29
CI_0346,hexMLST,CAMP1085,25
CI_0346,hexMLST,CAMP0572,37
CI_0346,hexMLST,CAMP0867,1
CI_0346,hexMLST,CAMP1568,1
CI_0346,hexMLST,CAMP0881,1
CI_0346,hexMLST,CAMP0015,1
CI_0346,hexMLST,CAMP1301,35
CI_0346,hexMLST,CAMP1158,1
CI_0346,hexMLST,CAMP0950,17
CI_0346,hexMLST,CAMP1411,33
CI_0346,hexMLST,CAMP1416,13
CI_0346,hexMLST,CAMP0540,37
CI_0346,hexMLST,CAMP1022,3
CI_0346,hexMLST,CAMP0319,21
CI_0346,hexMLST,CAMP0792,23
CI_0346,hexMLST,CAMP0791,13
CI_0346,hexMLST,CAMP1541,14
CI_0346,hexMLST,CAMP0556,13
CI_0346,hexMLST,CAMP0351,1
CI_0346,hexMLST,CAMP0496,27
CI_0346,hexMLST,CAMP1384,14
CI_0346,hexMLST,CAMP1280,14
CI_0346,hexMLST,CAMP0565,11
CI_0346,hexMLST,CAMP0138,1
CI_0346,hexMLST,CAMP1208,1
CI_0346,hexMLST,CAMP1430,14
CI_0346,hexMLST,CAMP1432,31
CI_0346,hexMLST,CAMP1019,12
CI_0346,hexMLST,CAMP1537,13
CI_0346,hexMLST,CAMP0182,27
CI_0346,hexMLST,CAMP0028,21
CI_0346,hexMLST,CAMP0024,1
CI_0346,hexMLST,CAMP1124,1
CI_0346,hexMLST,CAMP0338,1
CI_0346,hexMLST,CAMP1211,1
CI_0346,hexMLST,CAMP1042,1
CI_0346,hexMLST,CAMP1048,1
CI_0346,hexMLST,CAMP0104,1
CI_0346,hexMLST,CAMP1355,1
CI_0346,hexMLST,CAMP0100,1
CI_0346,hexMLST,CAMP1357,30
CI_0346,hexMLST,CAMP0111,1
CI_0346,hexMLST,CAMP1529,31
CI_0346,hexMLST,CAMP0532,37
CI_0346,hexMLST,CAMP0633,28
CI_0346,hexMLST,CAMP0535,34
CI_0346,hexMLST,CAMP0905,1
CI_0346,hexMLST,CAMP1116,1
CI_0346,hexMLST,CAMP1262,36
CI_0346,hexMLST,CAMP1053,14
CI_0346,hexMLST,CAMP0059,1
CI_0346,hexMLST,CAMP1198,36
CI_0346,hexMLST,CAMP0399,1
CI_0346,hexMLST,CAMP0117,1
CI_0346,hexMLST,CAMP0502,
CI_0346,hexMLST,CAMP0052,13
CI_0346,hexMLST,CAMP0501,41
CI_0346,hexMLST,CAMP1197,25
CI_0346,hexMLST,CAMP0504,1
CI_0346,hexMLST,CAMP0505,36
CI_0346,hexMLST,CAMP0918,1
CI_0346,hexMLST,CAMP0626,40
CI_0346,hexMLST,CAMP0857,27
CI_0346,hexMLST,CAMP1294,14
CI_0346,hexMLST,CAMP1104,5
CI_0346,hexMLST,CAMP0597,14
CI_0346,hexMLST,CAMP1100,36
CI_0346,hexMLST,CAMP1581,1
CI_0346,hexMLST,CAMP0455,1
CI_0346,hexMLST,CAMP1275,12
CI_0346,hexMLST,CAMP0355,1
CI_0346,hexMLST,CAMP1185,23
CI_0346,hexMLST,CAMP0041,1
CI_0346,hexMLST,CAMP1186,
CI_0346,hexMLST,CAMP1372,14
CI_0346,hexMLST,CAMP0757,1
CI_0346,hexMLST,CAMP0755,1
CI_0346,hexMLST,CAMP1502,13
CI_0346,hexMLST,CAMP0969,1
CI_0346,hexMLST,CAMP1508,13
CI_0346,hexMLST,CAMP0614,34
CI_0346,hexMLST,CAMP0967,37
CI_0346,hexMLST,CAMP1503,13
CI_0346,hexMLST,CAMP0847,1
CI_4806,hexMLST,CAMP1074,2
CI_4806,hexMLST,CAMP0367,20
CI_4806,hexMLST,CAMP0768,5
CI_4806,hexMLST,CAMP1364,5
CI_4806,hexMLST,CAMP1571,5
CI_4806,hexMLST,CAMP1578,5
CI_4806,hexMLST,CAMP0972,25
CI_4806,hexMLST,CAMP0471,66
CI_4806,hexMLST,CAMP0374,72
CI_4806,hexMLST,CAMP0273,77
CI_4806,hexMLST,CAMP1311,22
CI_4806,hexMLST,CAMP1313,17
CI_4806,hexMLST,CAMP0775,5
CI_4806,hexMLST,CAMP1322,46
CI_4806,hexMLST,CAMP1319,26
CI_4806,hexMLST,CAMP1567,5
CI_4806,hexMLST,CAMP1085,1
CI_4806,hexMLST,CAMP0572,20
CI_4806,hexMLST,CAMP0867,43
CI_4806,hexMLST,CAMP1568,5
CI_4806,hexMLST,CAMP0881,4
CI_4806,hexMLST,CAMP0015,24
CI_4806,hexMLST,CAMP1301,5
CI_4806,hexMLST,CAMP1158,25
CI_4806,hexMLST,CAMP0950,30
CI_4806,hexMLST,CAMP1411,5
CI_4806,hexMLST,CAMP1416,20
CI_4806,hexMLST,CAMP0540,5
CI_4806,hexMLST,CAMP1022,2
CI_4806,hexMLST,CAMP0319,5
CI_4806,hexMLST,CAMP0792,19
CI_4806,hexMLST,CAMP0791,25
CI_4806,hexMLST,CAMP1541,
CI_4806,hexMLST,CAMP0556,59
CI_4806,hexMLST,CAMP0351,5
CI_4806,hexMLST,CAMP0496,31
CI_4806,hexMLST,CAMP1384,5
CI_4806,hexMLST,CAMP1280,75
CI_4806,hexMLST,CAMP0565,22
CI_4806,hexMLST,CAMP0138,
CI_4806,hexMLST,CAMP1208,4
CI_4806,hexMLST,CAMP1430,22
CI_4806,hexMLST,CAMP1432,22
CI_4806,hexMLST,CAMP1019,21
CI_4806,hexMLST,CAMP1537,5
CI_4806,hexMLST,CAMP0182,2
CI_4806,hexMLST,CAMP0028,15
CI_4806,hexMLST,CAMP0024,25
CI_4806,hexMLST,CAMP1124,5
CI_4806,hexMLST,CAMP0338,5
CI_4806,hexMLST,CAMP1211,77
CI_4806,hexMLST,CAMP1042,76
CI_4806,hexMLST,CAMP1048,4
CI_4806,hexMLST,CAMP0104,2
CI_4806,hexMLST,CAMP1355,42
CI_4806,hexMLST,CAMP0100,23
CI_4806,hexMLST,CAMP1357,4
CI_4806,hexMLST,CAMP0111,2
CI_4806,hexMLST,CAMP1529,5
CI_4806,hexMLST,CAMP0532,23
CI_4806,hexMLST,CAMP0633,59
CI_4806,hexMLST,CAMP0535,5
CI_4806,hexMLST,CAMP0905,5
CI_4806,hexMLST,CAMP1116,5
CI_4806,hexMLST,CAMP1262,69
CI_4806,hexMLST,CAMP1053,5
CI_4806,hexMLST,CAMP0059,
CI_4806,hexMLST,CAMP1198,5
CI_4806,hexMLST,CAMP0399,5
CI_4806,hexMLST,CAMP0117,2
CI_4806,hexMLST,CAMP0502,33
CI_4806,hexMLST,CAMP0052,
CI_4806,hexMLST,CAMP0501,29
CI_4806,hexMLST,CAMP1197,3
CI_4806,hexMLST,CAMP0504,63
CI_4806,hexMLST,CAMP0505,75
CI_4806,hexMLST,CAMP0918,26
CI_4806,hexMLST,CAMP0626,89
CI_4806,hexMLST,CAMP0857,24
CI_4806,hexMLST,CAMP1294,68
CI_4806,hexMLST,CAMP1104,3
CI_4806,hexMLST,CAMP0597,51
CI_4806,hexMLST,CAMP1100,68
CI_4806,hexMLST,CAMP1581,5
CI_4806,hexMLST,CAMP0455,5
CI_4806,hexMLST,CAMP1275,3
CI_4806,hexMLST,CAMP0355,75
CI_4806,hexMLST,CAMP1185,5
CI_4806,hexMLST,CAMP0041,
CI_4806,hexMLST,CAMP1186,5
CI_4806,hexMLST,CAMP1372,5
CI_4806,hexMLST,CAMP0757,29
CI_4806,hexMLST,CAMP0755,19
CI_4806,hexMLST,CAMP1502,5
CI_4806,hexMLST,CAMP0969,77
CI_4806,hexMLST,CAMP1508,5
CI_4806,hexMLST,CAMP0614,45
CI_4806,hexMLST,CAMP0967,5
CI_4806,hexMLST,CAMP1503,4
CI_4806,hexMLST,CAMP0847,4
CI_1660,hexMLST,CAMP1074,46
CI_1660,hexMLST,CAMP0367,
CI_1660,hexMLST,CAMP0768,45
CI_1660,hexMLST,CAMP1364,
CI_1660,hexMLST,CAMP1571,50
CI_1660,hexMLST,CAMP1578,30
CI_1660,hexMLST,CAMP0972,46
CI_1660,hexMLST,CAMP0471,
CI_1660,hexMLST,CAMP0374,53
CI_1660,hexMLST,CAMP0273,
CI_1660,hexMLST,CAMP1311,
CI_1660,hexMLST,CAMP1313,3
CI_1660,hexMLST,CAMP0775,44
CI_1660,hexMLST,CAMP1322,
CI_1660,hexMLST,CAMP1319,47
CI_1660,hexMLST,CAMP1567,53
CI_1660,hexMLST,CAMP1085,43
CI_1660,hexMLST,CAMP0572,
CI_1660,hexMLST,CAMP0867,
CI_1660,hexMLST,CAMP1568,44
CI_1660,hexMLST,CAMP0881,58
CI_1660,hexMLST,CAMP0015,51
CI_1660,hexMLST,CAMP1301,49
CI_1660,hexMLST,CAMP1158,50
CI_1660,hexMLST,CAMP0950,
CI_1660,hexMLST,CAMP1411,46
CI_1660,hexMLST,CAMP1416,39
CI_1660,hexMLST,CAMP0540,
CI_1660,hexMLST,CAMP1022,
CI_1660,hexMLST,CAMP0319,46
CI_1660,hexMLST,CAMP0792,40
CI_1660,hexMLST,CAMP0791,38
CI_1660,hexMLST,CAMP1541,60
CI_1660,hexMLST,CAMP0556,
CI_1660,hexMLST,CAMP0351,52
CI_1660,hexMLST,CAMP0496,52
CI_1660,hexMLST,CAMP1384,
CI_1660,hexMLST,CAMP1280,50
CI_1660,hexMLST,CAMP0565,
CI_1660,hexMLST,CAMP0138,59
CI_1660,hexMLST,CAMP1208,51
CI_1660,hexMLST,CAMP1430,40
CI_1660,hexMLST,CAMP1432,41
CI_1660,hexMLST,CAMP1019,52
CI_1660,hexMLST,CAMP1537,49
CI_1660,hexMLST,CAMP0182,55
CI_1660,hexMLST,CAMP0028,46
CI_1660,hexMLST,CAMP0024,62
CI_1660,hexMLST,CAMP1124,55
CI_1660,hexMLST,CAMP0338,48
CI_1660,hexMLST,CAMP1211,55
CI_1660,hexMLST,CAMP1042,42
CI_1660,hexMLST,CAMP1048,48
CI_1660,hexMLST,CAMP0104,51
CI_1660,hexMLST,CAMP1355,
CI_1660,hexMLST,CAMP0100,48
CI_1660,hexMLST,CAMP1357,
CI_1660,hexMLST,CAMP0111,43
CI_1660,hexMLST,CAMP1529,49
CI_1660,hexMLST,CAMP0532,
CI_1660,hexMLST,CAMP0633,47
CI_1660,hexMLST,CAMP0535,
CI_1660,hexMLST,CAMP0905,
CI_1660,hexMLST,CAMP1116,42
CI_1660,hexMLST,CAMP1262,51
CI_1660,hexMLST,CAMP1053,
CI_1660,hexMLST,CAMP0059,49
CI_1660,hexMLST,CAMP1198,60
CI_1660,hexMLST,CAMP0399,52
CI_1660,hexMLST,CAMP0117,53
CI_1660,hexMLST,CAMP0502,
CI_1660,hexMLST,CAMP0052,43
CI_1660,hexMLST,CAMP0501,59
CI_1660,hexMLST,CAMP1197,41
CI_1660,hexMLST,CAMP0504,50
CI_1660,hexMLST,CAMP0505,60
CI_1660,hexMLST,CAMP0918,49
CI_1660,hexMLST,CAMP0626,
CI_1660,hexMLST,CAMP0857,51
CI_1660,hexMLST,CAMP1294,
CI_1660,hexMLST,CAMP1104,34
CI_1660,hexMLST,CAMP0597,
CI_1660,hexMLST,CAMP1100,53
CI_1660,hexMLST,CAMP1581,40
CI_1660,hexMLST,CAMP0455,55
CI_1660,hexMLST,CAMP1275,48
CI_1660,hexMLST,CAMP0355,53
CI_1660,hexMLST,CAMP1185,63
CI_1660,hexMLST,CAMP0041,25
CI_1660,hexMLST,CAMP1186,
CI_1660,hexMLST,CAMP1372,
CI_1660,hexMLST,CAMP0757,58
CI_1660,hexMLST,CAMP0755,5
CI_1660,hexMLST,CAMP1502,41
CI_1660,hexMLST,CAMP0969,
CI_1660,hexMLST,CAMP1508,47
CI_1660,hexMLST,CAMP0614,45
CI_1660,hexMLST,CAMP0967,
CI_1660,hexMLST,CAMP1503,4
CI_1660,hexMLST,CAMP0847,44
CI_5245,hexMLST,CAMP1074,
CI_5245,hexMLST,CAMP0367,1
CI_5245,hexMLST,CAMP0768,1
CI_5245,hexMLST,CAMP1364,
CI_5245,hexMLST,CAMP1571,1
CI_5245,hexMLST,CAMP1578,
CI_5245,hexMLST,CAMP0972,13
CI_5245,hexMLST,CAMP0471,
CI_5245,hexMLST,CAMP0374,1
CI_5245,hexMLST,CAMP0273,1
CI_5245,hexMLST,CAMP1311,13
CI_5245,hexMLST,CAMP1313,7
CI_5245,hexMLST,CAMP0775,24
CI_5245,hexMLST,CAMP1322,28
CI_5245,hexMLST,CAMP1319,14
CI_5245,hexMLST,CAMP1567,1
CI_5245,hexMLST,CAMP1085,1
CI_5245,hexMLST,CAMP0572,41
CI_5245,hexMLST,CAMP0867,1
CI_5245,hexMLST,CAMP1568,1
CI_5245,hexMLST,CAMP0881,26
CI_5245,hexMLST,CAMP0015,
CI_5245,hexMLST,CAMP1301,1
CI_5245,hexMLST,CAMP1158,1
CI_5245,hexMLST,CAMP0950,5
CI_5245,hexMLST,CAMP1411,1
CI_5245,hexMLST,CAMP1416,1
CI_5245,hexMLST,CAMP0540,14
CI_5245,hexMLST,CAMP1022,11
CI_5245,hexMLST,CAMP0319,21
CI_5245,hexMLST,CAMP0792,23
CI_5245,hexMLST,CAMP0791,13
CI_5245,hexMLST,CAMP1541,1
CI_5245,hexMLST,CAMP0556,1
CI_5245,hexMLST,CAMP0351,1
CI_5245,hexMLST,CAMP0496,36
CI_5245,hexMLST,CAMP1384,1
CI_5245,hexMLST,CAMP1280,
CI_5245,hexMLST,CAMP0565,1
CI_5245,hexMLST,CAMP0138,41
CI_5245,hexMLST,CAMP1208,1
CI_5245,hexMLST,CAMP1430,1
CI_5245,hexMLST,CAMP1432,1
CI_5245,hexMLST,CAMP1019,1
CI_5245,hexMLST,CAMP1537,1
CI_5245,hexMLST,CAMP0182,2
CI_5245,hexMLST,CAMP0028,19
CI_5245,hexMLST,CAMP0024,
CI_5245,hexMLST,CAMP1124,1
CI_5245,hexMLST,CAMP0338,1
CI_5245,hexMLST,CAMP1211,45
CI_5245,hexMLST,CAMP1042,1
CI_5245,hexMLST,CAMP1048,1
