Strain	Test	Marker	Call
OXC6578_V2	MLST	glyA	4
OXC6578_V2	MLST	uncA	6
OXC6578_V2	MLST	gltA	2
OXC6485R	MLST	aspA	10
OXC6485R	MLST	glnA	27
OXC6485R	MLST	pgm	10
OXC6485R	MLST	tkt	5
OXC6485R	MLST	glyA	19
OXC6485R	MLST	uncA	7
OXC6485R	MLST	gltA	16
OXC6553	MLST	aspA	2
OXC6553	MLST	glnA	21
OXC6553	MLST	pgm	60
OXC6553	MLST	tkt	1
OXC6553	MLST	glyA	37
OXC6553	MLST	uncA	5
OXC6553	MLST	gltA	5
OXC6552	MLST	aspA	2
OXC6552	MLST	glnA	1
OXC6552	MLST	pgm	2
OXC6552	MLST	tkt	1
OXC6552	MLST	glyA	3
OXC6552	MLST	uncA	12
OXC6552	MLST	gltA	12
OXC5608	MLST	aspA	9
OXC5608	MLST	glnA	25
OXC5608	MLST	pgm	22
OXC5608	MLST	tkt	3
OXC5608	MLST	glyA	10
OXC5608	MLST	uncA	6
OXC5608	MLST	gltA	2
OXC6550	MLST	aspA	24
OXC6550	MLST	glnA	2
OXC6550	MLST	pgm	10
OXC6550	MLST	tkt	3
OXC6550	MLST	glyA	2
OXC6550	MLST	uncA	1
OXC6550	MLST	gltA	2
OXC6557	MLST	aspA	73
OXC6557	MLST	glnA	21
OXC6557	MLST	pgm	86
OXC6557	MLST	tkt	3
OXC6557	MLST	glyA	
OXC6557	MLST	uncA	6
OXC6557	MLST	gltA	2
OXC6556	MLST	aspA	6
OXC6556	MLST	glnA	4
OXC6556	MLST	pgm	89
OXC6556	MLST	tkt	282
OXC6556	MLST	glyA	2
OXC6556	MLST	uncA	5
OXC6556	MLST	gltA	52
OXC6555	MLST	aspA	24
OXC6555	MLST	glnA	2
OXC6555	MLST	pgm	10
OXC6555	MLST	tkt	3
OXC6555	MLST	glyA	2
OXC6555	MLST	uncA	1
OXC6555	MLST	gltA	2
OXC6554	MLST	aspA	24
OXC6554	MLST	glnA	2
OXC6554	MLST	pgm	10
OXC6554	MLST	tkt	3
OXC6554	MLST	glyA	2
OXC6554	MLST	uncA	1
OXC6554	MLST	gltA	2
OXC6559	MLST	aspA	33
OXC6559	MLST	glnA	38
OXC6559	MLST	pgm	104
OXC6559	MLST	tkt	43
OXC6559	MLST	glyA	
OXC6559	MLST	uncA	17
OXC6559	MLST	gltA	30
CGY_HR_170	MLST	aspA	4
CGY_HR_170	MLST	glnA	4
CGY_HR_170	MLST	pgm	7
CGY_HR_170	MLST	tkt	51
CGY_HR_170	MLST	glyA	2
CGY_HR_170	MLST	uncA	5
CGY_HR_170	MLST	gltA	1
OXC5604	MLST	aspA	8
OXC5604	MLST	glnA	10
OXC5604	MLST	pgm	11
OXC5604	MLST	tkt	12
OXC5604	MLST	glyA	210
OXC5604	MLST	uncA	6
OXC5604	MLST	gltA	2
OXC5605	MLST	aspA	33
OXC5605	MLST	glnA	39
OXC5605	MLST	pgm	113
OXC5605	MLST	tkt	43
OXC5605	MLST	glyA	79
OXC5605	MLST	uncA	17
OXC5605	MLST	gltA	30
OXC6395	MLST	aspA	103
OXC6395	MLST	glnA	110
OXC6395	MLST	pgm	188
OXC6395	MLST	tkt	164
OXC6395	MLST	glyA	140
OXC6395	MLST	uncA	79
OXC6395	MLST	gltA	103
OXC6394	MLST	aspA	2
OXC6394	MLST	glnA	1
OXC6394	MLST	pgm	2
OXC6394	MLST	tkt	1
OXC6394	MLST	glyA	3
OXC6394	MLST	uncA	5
OXC6394	MLST	gltA	5
OXC6397	MLST	aspA	6
OXC6397	MLST	glnA	4
OXC6397	MLST	pgm	2
OXC6397	MLST	tkt	1
OXC6397	MLST	glyA	2
OXC6397	MLST	uncA	5
OXC6397	MLST	gltA	5
OXC6396	MLST	aspA	7
OXC6396	MLST	glnA	17
OXC6396	MLST	pgm	23
OXC6396	MLST	tkt	3
OXC6396	MLST	glyA	15
OXC6396	MLST	uncA	12
OXC6396	MLST	gltA	2
OXC6391	MLST	aspA	7
OXC6391	MLST	glnA	53
OXC6391	MLST	pgm	11
OXC6391	MLST	tkt	3
OXC6391	MLST	glyA	10
OXC6391	MLST	uncA	3
OXC6391	MLST	gltA	2
OXC6390	MLST	aspA	9
OXC6390	MLST	glnA	2
OXC6390	MLST	pgm	4
OXC6390	MLST	tkt	5
OXC6390	MLST	glyA	62
OXC6390	MLST	uncA	6
OXC6390	MLST	gltA	4
OXC6393	MLST	aspA	2
OXC6393	MLST	glnA	1
OXC6393	MLST	pgm	2
OXC6393	MLST	tkt	1
OXC6393	MLST	glyA	
OXC6393	MLST	uncA	5
OXC6393	MLST	gltA	12
OXC6392	MLST	aspA	7
OXC6392	MLST	glnA	53
OXC6392	MLST	pgm	11
OXC6392	MLST	tkt	3
OXC6392	MLST	glyA	10
OXC6392	MLST	uncA	3
OXC6392	MLST	gltA	2
OXC7296	MLST	aspA	9
OXC7296	MLST	glnA	2
OXC7296	MLST	pgm	4
OXC7296	MLST	tkt	5
OXC7296	MLST	glyA	62
OXC7296	MLST	uncA	6
OXC7296	MLST	gltA	4
CI_2423	MLST	aspA	37
CI_2423	MLST	glnA	52
CI_2423	MLST	pgm	107
CI_2423	MLST	tkt	29
CI_2423	MLST	glyA	26
CI_2423	MLST	uncA	23
CI_2423	MLST	gltA	57
OXC7294	MLST	aspA	1
OXC7294	MLST	glnA	4
OXC7294	MLST	pgm	6
OXC7294	MLST	tkt	3
OXC7294	MLST	glyA	2
OXC7294	MLST	uncA	17
OXC7294	MLST	gltA	2
C28B51	MLST	aspA	7
C28B51	MLST	glnA	110
C28B51	MLST	pgm	188
C28B51	MLST	tkt	164
C28B51	MLST	glyA	140
C28B51	MLST	uncA	79
C28B51	MLST	gltA	103
OXC5776	MLST	aspA	7
OXC5776	MLST	glnA	53
OXC5776	MLST	pgm	11
OXC5776	MLST	tkt	3
OXC5776	MLST	glyA	10
OXC5776	MLST	uncA	3
OXC5776	MLST	gltA	2
OXC5777	MLST	aspA	24
OXC5777	MLST	glnA	2
OXC5777	MLST	pgm	10
OXC5777	MLST	tkt	3
OXC5777	MLST	glyA	2
OXC5777	MLST	uncA	1
OXC5777	MLST	gltA	2
OXC5774	MLST	aspA	2
OXC5774	MLST	glnA	1
OXC5774	MLST	pgm	2
OXC5774	MLST	tkt	3
OXC5774	MLST	glyA	3
OXC5774	MLST	uncA	5
OXC5774	MLST	gltA	5
OXC5775	MLST	aspA	2
OXC5775	MLST	glnA	4
OXC5775	MLST	pgm	19
OXC5775	MLST	tkt	3
OXC5775	MLST	glyA	4
OXC5775	MLST	uncA	6
OXC5775	MLST	gltA	2
OXC5772	MLST	aspA	8
OXC5772	MLST	glnA	1
OXC5772	MLST	pgm	2
OXC5772	MLST	tkt	1
OXC5772	MLST	glyA	3
OXC5772	MLST	uncA	12
OXC5772	MLST	gltA	6
OXC5773	MLST	aspA	33
OXC5773	MLST	glnA	39
OXC5773	MLST	pgm	104
OXC5773	MLST	tkt	43
OXC5773	MLST	glyA	82
OXC5773	MLST	uncA	17
OXC5773	MLST	gltA	30
OXC5771	MLST	aspA	2
OXC5771	MLST	glnA	1
OXC5771	MLST	pgm	2
OXC5771	MLST	tkt	1
OXC5771	MLST	glyA	3
OXC5771	MLST	uncA	5
OXC5771	MLST	gltA	12
CI_3043	MLST	aspA	2
CI_3043	MLST	glnA	29
CI_3043	MLST	pgm	131
CI_3043	MLST	tkt	25
CI_3043	MLST	glyA	48
CI_3043	MLST	uncA	57
CI_3043	MLST	gltA	84
OXC5778	MLST	aspA	22
OXC5778	MLST	glnA	15
OXC5778	MLST	pgm	74
OXC5778	MLST	tkt	25
OXC5778	MLST	glyA	64
OXC5778	MLST	uncA	23
OXC5778	MLST	gltA	4
OXC5779	MLST	aspA	9
OXC5779	MLST	glnA	2
OXC5779	MLST	pgm	4
OXC5779	MLST	tkt	5
OXC5779	MLST	glyA	62
OXC5779	MLST	uncA	6
OXC5779	MLST	gltA	4
OXC4634	MLST	aspA	7
OXC4634	MLST	glnA	17
OXC4634	MLST	pgm	10
OXC4634	MLST	tkt	3
OXC4634	MLST	glyA	2
OXC4634	MLST	uncA	6
OXC4634	MLST	gltA	2
OXC4635	MLST	aspA	2
OXC4635	MLST	glnA	4
OXC4635	MLST	pgm	19
OXC4635	MLST	tkt	3
OXC4635	MLST	glyA	4
OXC4635	MLST	uncA	6
OXC4635	MLST	gltA	2
OXC4636	MLST	aspA	2
OXC4636	MLST	glnA	1
OXC4636	MLST	pgm	2
OXC4636	MLST	tkt	1
OXC4636	MLST	glyA	3
OXC4636	MLST	uncA	5
OXC4636	MLST	gltA	21
OXC4630	MLST	aspA	2
OXC4630	MLST	glnA	4
OXC4630	MLST	pgm	7
OXC4630	MLST	tkt	1
OXC4630	MLST	glyA	2
OXC4630	MLST	uncA	5
OXC4630	MLST	gltA	1
OXC4631	MLST	aspA	7
OXC4631	MLST	glnA	17
OXC4631	MLST	pgm	23
OXC4631	MLST	tkt	3
OXC4631	MLST	glyA	15
OXC4631	MLST	uncA	12
OXC4631	MLST	gltA	2
OXC4632	MLST	aspA	2
OXC4632	MLST	glnA	1
OXC4632	MLST	pgm	2
OXC4632	MLST	tkt	1
OXC4632	MLST	glyA	3
OXC4632	MLST	uncA	5
OXC4632	MLST	gltA	21
OXC4633	MLST	aspA	2
OXC4633	MLST	glnA	1
OXC4633	MLST	pgm	2
OXC4633	MLST	tkt	1
OXC4633	MLST	glyA	3
OXC4633	MLST	uncA	5
OXC4633	MLST	gltA	1
OXC4638	MLST	aspA	2
OXC4638	MLST	glnA	4
OXC4638	MLST	pgm	19
OXC4638	MLST	tkt	62
OXC4638	MLST	glyA	4
OXC4638	MLST	uncA	5
OXC4638	MLST	gltA	1
OXC4639	MLST	aspA	2
OXC4639	MLST	glnA	4
OXC4639	MLST	pgm	19
OXC4639	MLST	tkt	62
OXC4639	MLST	glyA	4
OXC4639	MLST	uncA	5
OXC4639	MLST	gltA	1
OXC7202	MLST	aspA	24
OXC7202	MLST	glnA	2
OXC7202	MLST	pgm	10
OXC7202	MLST	tkt	3
OXC7202	MLST	glyA	2
OXC7202	MLST	uncA	3
OXC7202	MLST	gltA	2
OXC7457	MLST	aspA	33
OXC7457	MLST	glnA	39
OXC7457	MLST	pgm	504
OXC7457	MLST	tkt	85
OXC7457	MLST	glyA	79
OXC7457	MLST	uncA	41
OXC7457	MLST	gltA	65
OXC7456	MLST	aspA	2
OXC7456	MLST	glnA	115
OXC7456	MLST	pgm	127
OXC7456	MLST	tkt	29
OXC7456	MLST	glyA	26
OXC7456	MLST	uncA	35
OXC7456	MLST	gltA	57
BID1AV	MLST	aspA	10
BID1AV	MLST	glnA	27
BID1AV	MLST	pgm	10
BID1AV	MLST	tkt	5
BID1AV	MLST	glyA	19
BID1AV	MLST	uncA	7
BID1AV	MLST	gltA	33
OXC7107	MLST	aspA	1
OXC7107	MLST	glnA	2
OXC7107	MLST	pgm	5
OXC7107	MLST	tkt	9
OXC7107	MLST	glyA	4
OXC7107	MLST	uncA	3
OXC7107	MLST	gltA	3
OXC6981	MLST	aspA	8
OXC6981	MLST	glnA	1
OXC6981	MLST	pgm	2
OXC6981	MLST	tkt	1
OXC6981	MLST	glyA	3
OXC6981	MLST	uncA	1
OXC6981	MLST	gltA	6
OXC7147	MLST	aspA	2
OXC7147	MLST	glnA	1
OXC7147	MLST	pgm	2
OXC7147	MLST	tkt	1
OXC7147	MLST	glyA	3
OXC7147	MLST	uncA	5
OXC7147	MLST	gltA	1
OXC7105	MLST	aspA	2
OXC7105	MLST	glnA	1
OXC7105	MLST	pgm	2
OXC7105	MLST	tkt	1
OXC7105	MLST	glyA	10
OXC7105	MLST	uncA	6
OXC7105	MLST	gltA	5
OXC6471_V2	MLST	aspA	33
OXC6471_V2	MLST	glnA	39
OXC6471_V2	MLST	pgm	104
OXC6471_V2	MLST	tkt	56
OXC6471_V2	MLST	glyA	82
OXC6471_V2	MLST	uncA	17
OXC6471_V2	MLST	gltA	30
OXC4559	MLST	aspA	4
OXC4559	MLST	glnA	7
OXC4559	MLST	pgm	42
OXC4559	MLST	tkt	51
OXC4559	MLST	glyA	4
OXC4559	MLST	uncA	1
OXC4559	MLST	gltA	10
OXC7104	MLST	aspA	2
OXC7104	MLST	glnA	1
OXC7104	MLST	pgm	2
OXC7104	MLST	tkt	1
OXC7104	MLST	glyA	10
OXC7104	MLST	uncA	6
OXC7104	MLST	gltA	5
OXC6984	MLST	aspA	33
OXC6984	MLST	glnA	39
OXC6984	MLST	pgm	104
OXC6984	MLST	tkt	47
OXC6984	MLST	glyA	82
OXC6984	MLST	uncA	17
OXC6984	MLST	gltA	30
OXC7459	MLST	aspA	2
OXC7459	MLST	glnA	10
OXC7459	MLST	pgm	19
OXC7459	MLST	tkt	3
OXC7459	MLST	glyA	4
OXC7459	MLST	uncA	6
OXC7459	MLST	gltA	2
OXC7102	MLST	aspA	4
OXC7102	MLST	glnA	7
OXC7102	MLST	pgm	1
OXC7102	MLST	tkt	7
OXC7102	MLST	glyA	1
OXC7102	MLST	uncA	1
OXC7102	MLST	gltA	10
CI_3609	MLST	aspA	37
CI_3609	MLST	glnA	4
CI_3609	MLST	pgm	13
CI_3609	MLST	tkt	25
CI_3609	MLST	glyA	48
CI_3609	MLST	uncA	57
CI_3609	MLST	gltA	4
OXC6778	MLST	aspA	24
OXC6778	MLST	glnA	2
OXC6778	MLST	pgm	10
OXC6778	MLST	tkt	3
OXC6778	MLST	glyA	2
OXC6778	MLST	uncA	1
OXC6778	MLST	gltA	2
OXC7101	MLST	aspA	14
OXC7101	MLST	glnA	17
OXC7101	MLST	pgm	11
OXC7101	MLST	tkt	3
OXC7101	MLST	glyA	2
OXC7101	MLST	uncA	6
OXC7101	MLST	gltA	5
OXC6773	MLST	aspA	1
OXC6773	MLST	glnA	6
OXC6773	MLST	pgm	12
OXC6773	MLST	tkt	28
OXC6773	MLST	glyA	24
OXC6773	MLST	uncA	1
OXC6773	MLST	gltA	60
OXC6772	MLST	aspA	9
OXC6772	MLST	glnA	2
OXC6772	MLST	pgm	4
OXC6772	MLST	tkt	5
OXC6772	MLST	glyA	62
OXC6772	MLST	uncA	6
OXC6772	MLST	gltA	4
OXC6771	MLST	aspA	10
OXC6771	MLST	glnA	27
OXC6771	MLST	pgm	6
OXC6771	MLST	tkt	18
OXC6771	MLST	glyA	19
OXC6771	MLST	uncA	7
OXC6771	MLST	gltA	43
OXC6770	MLST	aspA	2
OXC6770	MLST	glnA	4
OXC6770	MLST	pgm	7
OXC6770	MLST	tkt	1
OXC6770	MLST	glyA	2
OXC6770	MLST	uncA	5
OXC6770	MLST	gltA	1
OXC6777	MLST	aspA	2
OXC6777	MLST	glnA	115
OXC6777	MLST	pgm	127
OXC6777	MLST	tkt	29
OXC6777	MLST	glyA	26
OXC6777	MLST	uncA	35
OXC6777	MLST	gltA	57
OXC6776	MLST	aspA	7
OXC6776	MLST	glnA	17
OXC6776	MLST	pgm	10
OXC6776	MLST	tkt	3
OXC6776	MLST	glyA	2
OXC6776	MLST	uncA	
OXC6776	MLST	gltA	
OXC6775	MLST	aspA	1
OXC6775	MLST	glnA	4
OXC6775	MLST	pgm	6
OXC6775	MLST	tkt	3
OXC6775	MLST	glyA	2
OXC6775	MLST	uncA	17
OXC6775	MLST	gltA	2
OXC6774	MLST	aspA	24
OXC6774	MLST	glnA	2
OXC6774	MLST	pgm	10
OXC6774	MLST	tkt	3
OXC6774	MLST	glyA	2
OXC6774	MLST	uncA	3
OXC6774	MLST	gltA	2
CI_5292	MLST	aspA	2
CI_5292	MLST	glnA	1
CI_5292	MLST	pgm	2
CI_5292	MLST	tkt	1
CI_5292	MLST	glyA	3
CI_5292	MLST	uncA	6
CI_5292	MLST	gltA	1
OXC7048	MLST	aspA	1
OXC7048	MLST	glnA	3
OXC7048	MLST	pgm	3
OXC7048	MLST	tkt	3
OXC7048	MLST	glyA	4
OXC7048	MLST	uncA	3
OXC7048	MLST	gltA	6
OXC7049	MLST	aspA	2
OXC7049	MLST	glnA	1
OXC7049	MLST	pgm	2
OXC7049	MLST	tkt	54
OXC7049	MLST	glyA	3
OXC7049	MLST	uncA	5
OXC7049	MLST	gltA	5
CAMSA3690	MLST	aspA	2
CAMSA3690	MLST	glnA	1
CAMSA3690	MLST	pgm	2
CAMSA3690	MLST	tkt	1
CAMSA3690	MLST	glyA	3
CAMSA3690	MLST	uncA	5
CAMSA3690	MLST	gltA	1
OXC7042	MLST	aspA	6
OXC7042	MLST	glnA	4
OXC7042	MLST	pgm	2
OXC7042	MLST	tkt	1
OXC7042	MLST	glyA	2
OXC7042	MLST	uncA	5
OXC7042	MLST	gltA	5
OXC7043	MLST	aspA	2
OXC7043	MLST	glnA	4
OXC7043	MLST	pgm	19
OXC7043	MLST	tkt	1
OXC7043	MLST	glyA	4
OXC7043	MLST	uncA	5
OXC7043	MLST	gltA	1
OXC7458	MLST	aspA	2
OXC7458	MLST	glnA	61
OXC7458	MLST	pgm	40
OXC7458	MLST	tkt	34
OXC7458	MLST	glyA	38
OXC7458	MLST	uncA	35
OXC7458	MLST	gltA	120
OXC7041	MLST	aspA	2
OXC7041	MLST	glnA	1
OXC7041	MLST	pgm	2
OXC7041	MLST	tkt	1
OXC7041	MLST	glyA	3
OXC7041	MLST	uncA	5
OXC7041	MLST	gltA	12
OXC7046	MLST	aspA	8
OXC7046	MLST	glnA	1
OXC7046	MLST	pgm	2
OXC7046	MLST	tkt	1
OXC7046	MLST	glyA	3
OXC7046	MLST	uncA	12
OXC7046	MLST	gltA	6
OXC7047	MLST	aspA	7
OXC7047	MLST	glnA	2
OXC7047	MLST	pgm	10
OXC7047	MLST	tkt	3
OXC7047	MLST	glyA	2
OXC7047	MLST	uncA	6
OXC7047	MLST	gltA	5
OXC7044	MLST	aspA	9
OXC7044	MLST	glnA	25
OXC7044	MLST	pgm	22
OXC7044	MLST	tkt	3
OXC7044	MLST	glyA	10
OXC7044	MLST	uncA	6
OXC7044	MLST	gltA	2
OXC7045	MLST	aspA	1
OXC7045	MLST	glnA	4
OXC7045	MLST	pgm	6
OXC7045	MLST	tkt	3
OXC7045	MLST	glyA	2
OXC7045	MLST	uncA	17
OXC7045	MLST	gltA	2
CI_0392	MLST	aspA	1
CI_0392	MLST	glnA	6
CI_0392	MLST	pgm	12
CI_0392	MLST	tkt	28
CI_0392	MLST	glyA	24
CI_0392	MLST	uncA	1
CI_0392	MLST	gltA	22
CI_4835	MLST	aspA	4
CI_4835	MLST	glnA	7
CI_4835	MLST	pgm	42
CI_4835	MLST	tkt	7
CI_4835	MLST	glyA	4
CI_4835	MLST	uncA	1
CI_4835	MLST	gltA	10
CAMSA2057	MLST	aspA	2
CAMSA2057	MLST	glnA	1
CAMSA2057	MLST	pgm	2
CAMSA2057	MLST	tkt	1
CAMSA2057	MLST	glyA	3
CAMSA2057	MLST	uncA	5
CAMSA2057	MLST	gltA	1
CAMSA2056	MLST	aspA	2
CAMSA2056	MLST	glnA	1
CAMSA2056	MLST	pgm	2
CAMSA2056	MLST	tkt	1
CAMSA2056	MLST	glyA	3
CAMSA2056	MLST	uncA	5
CAMSA2056	MLST	gltA	1
OXC5398	MLST	aspA	9
OXC5398	MLST	glnA	2
OXC5398	MLST	pgm	4
OXC5398	MLST	tkt	5
OXC5398	MLST	glyA	62
OXC5398	MLST	uncA	6
OXC5398	MLST	gltA	4
OXC5394	MLST	aspA	7
OXC5394	MLST	glnA	53
OXC5394	MLST	pgm	11
OXC5394	MLST	tkt	3
OXC5394	MLST	glyA	10
OXC5394	MLST	uncA	3
OXC5394	MLST	gltA	2
OXC5395	MLST	aspA	9
OXC5395	MLST	glnA	2
OXC5395	MLST	pgm	4
OXC5395	MLST	tkt	5
OXC5395	MLST	glyA	62
OXC5395	MLST	uncA	6
OXC5395	MLST	gltA	4
OXC5396	MLST	aspA	1
OXC5396	MLST	glnA	4
OXC5396	MLST	pgm	185
OXC5396	MLST	tkt	3
OXC5396	MLST	glyA	4
OXC5396	MLST	uncA	6
OXC5396	MLST	gltA	2
OXC5397	MLST	aspA	2
OXC5397	MLST	glnA	1
OXC5397	MLST	pgm	11
OXC5397	MLST	tkt	343
OXC5397	MLST	glyA	5
OXC5397	MLST	uncA	5
OXC5397	MLST	gltA	1
OXC5390	MLST	aspA	9
OXC5390	MLST	glnA	2
OXC5390	MLST	pgm	4
OXC5390	MLST	tkt	5
OXC5390	MLST	glyA	62
OXC5390	MLST	uncA	6
OXC5390	MLST	gltA	4
OXC5391	MLST	aspA	124
OXC5391	MLST	glnA	39
OXC5391	MLST	pgm	189
OXC5391	MLST	tkt	47
OXC5391	MLST	glyA	82
OXC5391	MLST	uncA	74
OXC5391	MLST	gltA	30
OXC5392	MLST	aspA	1
OXC5392	MLST	glnA	2
OXC5392	MLST	pgm	5
OXC5392	MLST	tkt	9
OXC5392	MLST	glyA	4
OXC5392	MLST	uncA	3
OXC5392	MLST	gltA	3
OXC5393	MLST	aspA	2
OXC5393	MLST	glnA	1
OXC5393	MLST	pgm	2
OXC5393	MLST	tkt	1
OXC5393	MLST	glyA	3
OXC5393	MLST	uncA	5
OXC5393	MLST	gltA	12
OXC6605	MLST	aspA	2
OXC6605	MLST	glnA	1
OXC6605	MLST	pgm	2
OXC6605	MLST	tkt	1
OXC6605	MLST	glyA	3
OXC6605	MLST	uncA	5
OXC6605	MLST	gltA	1
OXC6604	MLST	aspA	2
OXC6604	MLST	glnA	1
OXC6604	MLST	pgm	2
OXC6604	MLST	tkt	1
OXC6604	MLST	glyA	3
OXC6604	MLST	uncA	5
OXC6604	MLST	gltA	1
OXC6603	MLST	aspA	2
OXC6603	MLST	glnA	1
OXC6603	MLST	pgm	2
OXC6603	MLST	tkt	1
OXC6603	MLST	glyA	3
OXC6603	MLST	uncA	5
OXC6603	MLST	gltA	5
OXC6602	MLST	aspA	2
OXC6602	MLST	glnA	1
OXC6602	MLST	pgm	2
OXC6602	MLST	tkt	1
OXC6602	MLST	glyA	3
OXC6602	MLST	uncA	5
OXC6602	MLST	gltA	1
OXC6601	MLST	aspA	33
OXC6601	MLST	glnA	39
OXC6601	MLST	pgm	104
OXC6601	MLST	tkt	85
OXC6601	MLST	glyA	79
OXC6601	MLST	uncA	17
OXC6601	MLST	gltA	30
OXC6600	MLST	aspA	2
OXC6600	MLST	glnA	1
OXC6600	MLST	pgm	2
OXC6600	MLST	tkt	1
OXC6600	MLST	glyA	3
OXC6600	MLST	uncA	5
OXC6600	MLST	gltA	12
07_5321	MLST	aspA	1
07_5321	MLST	glnA	1
07_5321	MLST	pgm	225
07_5321	MLST	tkt	3
