genome,hexMLST
06_6212,13
CAMSA4057,110
CAMSA4054,162
OXC6707,607
OXC6575R_V2,783
OXC5818,700
OXC6592,999
OXC6590,343
CHR_053,237
CGY_HR_103,228
OXC6455,914
CAMSA4124,101
CHR_127,240
OXC7200,1315
OXC6598,983
OXC6702,1061
UCT046_R,1509
OXC6566R,783
OXC4829,490
OXC5805,694
OXC5807,574
OXC5800,691
OXC5801,504
OXC5802,692
OXC5803,626
HM908634,84
OXC4822,387
OXC4825,489
OXC5809,504
CI_2705,295
CI_1109,271
OXC7307,1373
OXC4735,455
OXC4734,454
OXC4737,457
OXC4736,456
OXC4731,446
OXC6545,962
OXC6546,970
OXC6547,491
OXC6548,971
OXC6549,75
OXC4738,458
OXC6382,862
OXC6383,395
OXC6380,860
OXC6381,861
OXC6386,864
OXC6387,865
OXC6384,853
OXC6385,863
OXC6388,750
07_2174,24
CGY_HR_098,226
06_2866,2
OXC7467,1468
OXC5703,613
HM907529,84
OXC5701,638
OXC5700,625
OXC5707,640
OXC5705,639
OXC5709,361
OXC5708,641
OXC4600,403
OXC4603,346
OXC4602,404
OXC4605,406
OXC4604,405
OXC4608,407
CAMSA81,125
CI_3074,304
CI_3290,306
CI_3299,307
CI_0927,267
CAMSA471,170
OXC6551,973
OXC6484R_V2,930
OXC6769,933
OXC6760,1034
OXC6761,1090
CAMSA272,110
OXC6763,345
OXC6764,395
CAMSA275,110
OXC6766,1093
OXC6767,1094
CAMSA3801,110
OXC6890,1160
CAMSA3802,155
CI_5265,330
CAMSA2049,116
CI_3856,312
OXC6490,933
OXC6558,390
08_6160,9
CAMSA2198,129
OXC6615,1011
OXC6616,982
OXC6610,1009
OXC6611,1010
OXC6612,434
OXC6613,690
OXC6618,1012
OXC6619,581
OXC7143,346
OXC7142,1066
OXC7141,578
OXC7140,1280
OXC6948,133
CI_0987,270
OXC7145,1281
OXC7144,852
Dg196,355
OXC6945,395
OXC6946,343
Dg195,354
Dg192,353
CAMSA15_R,111
OXC6942,1185
OXC6943,1127
OXC7385,1421
OXC7384,1391
OXC7387,1423
OXC7386,1422
OXC7381,1418
OXC7380,1417
OXC7383,1420
CE_R_11_0192,209
Dg356,356
OXC7389,571
OXC6576_V2,989
OXC7324,1383
06_5176,10
OXC7150,1285
OXC6257,581
OXC7151,1267
OXC7400,362
OXC7468,390
OXC7401,1429
ARI_915_R,85
OXC7407,1433
OXC7091,1253
OXC7090,1222
OXC7093,1255
OXC7092,1254
OXC7095,1257
OXC7094,1256
06_6554,6
OXC7096,1258
OXC7099,1260
OXC7098,1123
CAMSA3644,143
CAMSA3643,98
OXC7158,1289
OXC7159,1134
OXC7408,433
OXC6471R,497
08_7039,59
HM79979,84
CI_5889,334
06_4734,8
OXC5940,776
OXC5493,589
08_4456,52
OXC5490,588
OXC5497,590
OXC5495,581
OXC5499,591
OXC5498,581
CAMSA4133,118
OXC7015,345
CHR_119,239
HM314036,84
OXC4836,460
OXC4832,491
OXC4831,460
OXC5831,710
OXC5830,709
OXC5833,711
OXC5832,133
OXC5835,133
OXC5834,712
OXC5837,497
OXC5839,714
OXC5838,713
CJ6657_R,338
CGY_HR_118,174
RM4931,1507
OXC4722,450
OXC4721,449
OXC4726,97
OXC4727,452
OXC4724,451
CGY_HR_083,224
CGY_HR_082,223
OXC4728,453
CGY_HR_080,222
CAMSA289,101
OXC6570,987
OXC6573,430
OXC6572,988
OXC6379,859
OXC6378,858
OXC6377,346
OXC6376,854
OXC6375,434
OXC6374,857
OXC6373,856
OXC6372,855
OXC6371,854
OXC6370,853
C8,96
OXC7498,1484
OXC5710,642
OXC5711,643
OXC5712,644
OXC5713,645
OXC5715,574
OXC5716,646
CE_R_11_0114,206
OXC5848,721
OXC7496,1304
OXC4616,410
OXC4617,409
CE_R2_11_0134,202
CGY_HR_174,233
OXC4610,408
OXC4611,409
OXC6289,543
OXC6288,801
CI_2061,174
OXC6283,798
OXC6282,797
OXC6281,780
OXC7492,1481
OXC6287,800
OXC6286,403
OXC6285,770
OXC6284,799
OXC7473,1470
OXC6755,1088
OXC6754,956
OXC6757,607
OXC6756,414
OXC6751,1087
OXC6750,1086
OXC6753,340
OXC6752,339
OXC6759,1089
C138,90
CAMSA463,110
OXC6597,1001
OXC6596,937
OXC6595,968
RM4099,1506
OXC6593,1000
CI_4108,319
OXC6591,85
CI_4458,325
CAMSA260,134
OXC6599,1002
CI_4102,318
CJ6656_R,337
CAMSA2075,110
OXC6621,1013
OXC6620,815
OXC6623,1015
OXC6622,1014
OXC6625,1006
OXC6624,1016
OXC6627,1006
OXC6626,1017
OXC6629,1006
OXC6628,1018
OXC7472,621
OXC6979,1202
OXC6978,1201
OXC7152,852
OXC7153,1286
OXC7154,1287
OXC7155,1288
OXC7156,362
OXC7157,504
OXC6971,1099
OXC6970,1200
OXC6973,75
OXC7409,433
OXC6975,347
OXC6974,347
OXC6977,85
OXC6976,1110
OXC7392,1425
OXC7393,1425
OXC7390,361
OXC7391,1425
OXC7397,1428
OXC7394,1426
OXC7395,1427
OXC7398,390
07_4269,31
07_4268,30
CAMSA8,111
CI_4071,56
OXC6726,1072
CI_4079,317
CI_5300,330
OXC6576,989
CE_R_11_0270,213
OXC7089,797
OXC7086,852
OXC7087,504
OXC7084,386
OXC7085,1025
OXC7082,1235
OXC7083,1252
OXC7080,1251
OXC7081,799
08_6208,33
OXC30,374
OXC39,376
OXC7106,1264
OXC6870,1148
OXC7411,1435
OXC5480,585
OXC5482,586
OXC5483,584
OXC5484,482
OXC5486,587
OXC6485_V2,930
CAMSA4140,163
OXC4841,493
OXC4840,492
OXC4846,495
OXC4844,494
OXC5828,707
OXC5829,708
OXC5826,705
OXC5827,706
OXC5824,704
OXC5825,97
OXC5822,703
OXC5823,97
OXC5820,702
OXC5821,460
OXC5789,684
OXC5788,680
CAMSA1080,109
OXC6568,985
OXC6569,986
OXC6562,981
OXC6563,430
OXC6560,979
OXC6561,980
OXC6566,783
OXC6567,984
OXC6564,982
OXC6565,983
OXC6368,851
OXC6369,852
OXC6364,848
OXC6478,924
OXC6366,504
OXC6367,850
OXC6360,847
OXC6361,571
OXC6362,411
OXC5786,683
OXC6477,637
CI_2989,299
OXC5728,652
OXC5725,483
OXC5724,649
OXC5727,651
OXC5726,650
OXC5721,591
OXC5720,647
CAMSA382,156
OXC4669,441
OXC4668,420
OXC4663,438
CI_2695,294
OXC4660,436
OXC4667,437
OXC4666,440
OXC4664,439
OXC6298,459
OXC6299,459
CI_2055,286
CJ7257_R,347
OXC6290,747
OXC6291,802
OXC6292,403
OXC6293,803
OXC6294,804
OXC6295,805
OXC6296,806
OXC6297,807
CE_R_10_0306,205
CE_R_10_0305,205
CE2_R2_11_2018,176
OXC6742,1083
OXC6743,340
OXC6740,1082
OXC6741,97
OXC6746,681
OXC6747,957
OXC6744,1084
OXC6745,1085
8993,71
OXC6748,574
OXC6749,361
OXC6584,995
OXC6585,85
OXC6586,996
OXC6587,997
OXC6580,992
OXC6581,993
OXC6582,361
CAMSA259,121
CAMSA257,132
CI_4447,324
OXC6588,404
OXC6589,998
OXC6595R,968
CI_0346,253
CI_5245,330
ARI_1434_R,82
OXC6638,1023
OXC6639,980
OXC6636,343
OXC6637,395
OXC6634,1021
OXC6635,1022
OXC6632,1020
OXC6633,390
OXC6630,886
OXC6631,1019
CI_0699,261
CI_0168,247
OXC7169,1297
OXC7168,1296
OXC6715,1067
OXC7165,1294
OXC7164,1293
OXC7167,1295
OXC7166,574
OXC7161,1291
OXC7160,1290
CI_0165,246
OXC7162,1292
OXC7369,1410
OXC7367,1407
OXC7366,1409
OXC7365,1408
OXC7364,1407
OXC7363,1406
OXC7362,345
OXC7361,1405
OXC7360,404
CAMSA95,118
OXC7120,1258
CI_0765,262
HM909204,84
OXC7509,956
OXC7508,1490
M1,364
OXC7503,1486
OXC7502,1099
OXC7500,1485
OXC7507,387
OXC7506,1489
OXC7505,1488
OXC7504,1487
HM905487,84
RM1221,1505
OXC4075,378
07_2680,25
CI_1964,284
OXC6967,347
OXC6964,543
OXC6965,1197
OXC6962,1195
OXC6963,1196
OXC6960,1193
OXC6961,1194
ARI_813_R,83
CI_5429,333
CI_1969,284
OXC6968,1199
OXC6969,1099
OXC5923,497
OXC5922,766
08_4697,54
08_4696,52
OXC5927,768
OXC5926,760
OXC5925,767
OXC5924,133
08_7016,58
08_7017,58
OXC5929,770
OXC5928,769
OXC7217,1326
OXC7216,1325
OXC7215,1309
OXC7214,1324
OXC7213,1323
OXC7212,133
OXC7211,1322
OXC7210,1321
OXC7219,1328
OXC6733,1076
OXC7187,1306
OXC7186,1305
OXC7185,1304
OXC7184,1303
OXC7183,1127
OXC4881,502
OXC7181,876
OXC7180,1301
HM0627643,84
OXC7189,1307
OXC7188,345
OXC6531,961
OXC6530,958
08_4472,52
08_4474,52
OXC6535,963
OXC7134,1276
OXC6534,956
CI_1415,274
OXC6537,965
OXC7132,983
OXC7130,1273
OXC7131,1274
OXC6956,1191
OXC4850,496
OXC4851,492
OXC4852,492
OXC4856,446
OXC4857,433
OXC4858,387
OXC4859,404
OXC5859,361
OXC5858,729
OXC7138,1203
OXC5853,724
OXC5852,410
OXC5851,414
OXC5850,723
OXC5857,728
OXC5856,727
OXC5855,726
OXC5854,725
07_7314,43
CI_2864,297
CE_M_10_3062,199
OXC5457,573
OXC5456,482
OXC5455,572
OXC5454,533
OXC5452,571
OXC5451,483
OXC6351,840
OXC6350,750
OXC6353,842
OXC6352,841
OXC6355,844
OXC6354,843
OXC5459,574
OXC6356,845
OXC5739,386
OXC5732,653
CI_2991,300
OXC5731,543
CI_2995,301
OXC5734,655
OXC4678,387
OXC4679,445
OXC4670,442
CE2_R_11_1063,182
OXC4673,443
OXC4676,444
OXC4677,387
CI_2510,290
07_0549,18
CE2_R2_11_1027,56
CI_0918,266
CAMSA245,130
CAMSA244,121
48321,62
CE_R_11_0077,186
OXC5329,506
OXC6923,1099
OXC5758,666
OXC6400,873
07_1493,22
OXC6649,1031
OXC6648,1030
OXC6643,636
OXC6642,1026
OXC6641,1025
OXC6640,1024
OXC6647,1029
OXC6646,1028
OXC6645,1027
OXC6644,1027
OXC7178,1025
OXC7179,1300
CE2_R_11_3131,187
C256_R,91
OXC7172,1239
OXC5750,663
OXC7170,449
OXC7171,1239
OXC7176,1294
OXC7177,1299
OXC7174,1294
OXC6408,880
CAMSA3703,151
CAMSA3701,150
OXC7378,419
OXC7379,1239
CI_1884,281
OXC7374,1414
OXC7375,1415
OXC7376,1412
OXC7377,1416
OXC7370,1411
OXC7371,1412
OXC7372,1413
OXC7373,1401
CI_5254,330
OXC6595_V2,968
CAMSA3837,157
CI_5328,331
OXC6828,1127
OXC6827,750
OXC6826,1126
OXC6825,1125
OXC6824,1093
OXC6823,1124
OXC6822,1120
OXC6821,1123
OXC6820,983
OXC7518,1496
7802A,66
CI_1088,271
CJ6946_R,343
OXC7511,1491
OXC7512,1492
CE_R_11_0251,212
OXC7514,1324
OXC7515,1493
OXC7516,1494
OXC7517,1495
CAMSA3634,142
CAMSA3632,141
08_4913,55
OXC6913,1173
OXC6912,1172
OXC6911,1169
CI_0685,226
OXC6917,75
OXC6916,1174
OXC6915,625
OXC6914,1099
OXC4249,379
OXC6919,815
OXC6918,1175
OXC5930,771
OXC5931,772
OXC5932,707
OXC5933,773
OXC5934,774
OXC5937,581
OXC5938,133
OXC5939,775
OXC7204,433
OXC7205,1318
OXC7206,1319
OXC7207,1320
OXC6578R_V2,990
OXC7201,1316
CE_M_10_1037,194
OXC7203,1317
OXC7208,737
OXC7209,1303
CI_1799,278
OXC7194,1309
OXC7195,1312
OXC7196,411
OXC7197,1313
OXC7190,1308
OXC7191,1309
OXC7192,1310
OXC7193,1311
OXC7257,347
OXC7198,1288
OXC7199,1314
08_4468,52
08_4466,52
08_4460,53
08_4461,52
07_0971,20
ARI_1231_R,77
CAMSA3671,133
OXC4869,361
OXC4864,499
OXC4866,500
OXC4861,410
OXC4860,497
OXC4863,498
OXC4862,410
CJ7016_R,346
OXC5849,722
CAMSA362,140
OXC5840,715
OXC5841,716
OXC5842,717
OXC5843,718
OXC5844,719
OXC5845,720
OXC5846,133
OXC5847,592
OXC6817,1048
07_7324,44
CE_M_10_2096,196
OXC7437,504
CE_M_10_2090,195
OXC6346,568
OXC6347,828
OXC6344,411
OXC6345,346
OXC6342,836
OXC6343,837
OXC6340,834
OXC6341,835
OXC6348,838
OXC6349,839
OXC5444,78
OXC5445,345
OXC5440,569
OXC5441,570
OXC5443,537
UKZN016_R,1512
OXC6610_V2,1009
81-176,68
OXC4645,427
OXC4647,429
OXC4646,428
OXC4641,81
OXC4643,426
HM179023,84
OXC4649,430
CAMSA98,167
OXC6711,1066
CAMSA148_R,110
OXC4882,84
CI_3036,302
OXC4880,501
OXC7026,1225
CAMSA2099,118
OXC1211,370
07_4076,9
07_1009,21
dfvf1656,348
OXC6650,434
OXC6651,1032
CE_M_10_3107,200
OXC4503,380
CE2_R2_11_1033,56
OXC5695,433
OXC5694,609
OXC5696,636
OXC5691,635
OXC5690,591
OXC5698,637
OXC6365,849
CI_3812,311
CI_4864,327
OXC7444,1419
CAMSA2005,116
CAMSA2002,115
OXC6363,410
CE_R2_11_0350,48
OXC6658,1010
OXC6659,1036
CI_0215,248
CAMSA341,137
OXC6652,1030
CAMSA343,110
OXC6654,1034
OXC6655,1035
OXC6656,337
OXC6657,338
OXC7349,1399
OXC7348,1398
CAMSA3731,152
OXC7341,644
OXC7340,1393
OXC7342,1394
OXC7345,1396
OXC7344,1395
OXC7347,1397
OXC7346,1395
OXC6523,955
ARI_1022_R,74
OXC7525,1414
OXC7524,1499
OXC7527,1500
OXC7526,850
OXC6838,681
OXC6839,1133
OXC7523,1498
OXC7522,1446
OXC6834,815
OXC6835,1131
OXC6836,345
OXC6837,1132
CI_0783,263
OXC6831,823
OXC6832,1129
OXC6833,1130
CE_R_11_0240,211
CI_1092,272
CAMSA3605,138
06_7515,16
NS_35_R,368
OXC6901,497
OXC6902,1025
OXC6903,1166
OXC6904,1167
OXC6905,1167
OXC6906,1168
OXC6907,1169
OXC6908,1170
OXC6909,133
IA3902,363
CI_1943,283
OXC5909,97
OXC5908,762
OXC5905,760
OXC5904,759
OXC5907,411
OXC5906,761
OXC6566_V2,783
OXC5900,758
OXC5903,411
OXC5902,403
OXC7231,1329
OXC7230,1332
7487,65
OXC7232,1333
OXC7235,1336
OXC7234,1335
OXC7237,1239
OXC7236,1337
OXC7239,1339
OXC7238,1338
HM115713,361
Dg61,357
OXC7487,1477
PW1,1504
OXC6541,574
OXC7103,1262
OXC5723,648
CAMSA463_R,110
OXC5875,738
OXC5874,737
OXC5877,740
OXC5876,739
OXC5871,734
OXC5870,733
OXC5873,736
OXC5872,735
OXC4872,492
OXC4876,414
OXC4877,483
OXC4676_2,444
OXC6519,937
CAMSA3874,111
OXC6518,952
OXC129,372
CHR_028,236
CHR_026,235
OXC4661,437
CHR_023,234
CHR_022,204
CAMSA1073,84
OXC6513,948
OXC6576R,989
OXC6512,947
OXC6333,750
OXC6332,829
OXC6331,828
OXC6330,827
OXC6337,831
OXC6336,821
OXC6335,830
OXC6334,98
OXC7521,1099
OXC6339,833
OXC6338,832
OXC7520,1497
OXC5470,578
OXC5473,580
OXC5472,579
OXC5475,582
OXC5474,581
OXC5477,584
OXC5476,583
OXC5479,574
OXC6542,968
OXC6799,1110
CI_5357,332
OXC7528,1501
OXC4653,432
OXC4651,431
OXC6489,932
OXC6488,491
OXC4655,433
OXC6485,930
OXC6484,930
OXC6487,491
OXC6486,931
OXC6481,927
OXC6480,926
OXC6483,929
OXC6482,928
CI_2536,257
CI_2533,291
07_3508,27
CI_2840,296
CI_3943,315
CE2_R2_11_2022,177
CE2_R2_11_1009,175
CI_0973,269
OXC7447,1454
OXC7116,1239
CE2_R2_11_1006,174
OXC5682,631
OXC6798,1109
OXC5680,629
OXC5681,630
OXC5686,633
OXC5685,632
OXC6791,395
OXC6790,677
OXC5688,634
OXC5689,410
OXC6795,1106
OXC6794,1104
OXC6797,1108
OXC6796,1107
CAMSA226,110
CI_1096,269
CGY_HR_020,214
CGY_HR_022,216
911,72
CGY_HR_027,218
CGY_HR_026,217
CAMSA2038,119
CAMSA2033,118
CAMSA2036,110
OXC6665,1041
OXC6664,1040
OXC6667,578
CE_M_10_4053,201
CE_M_10_4054,201
OXC6660,1037
OXC6663,1033
OXC6662,1039
OXC6669,1042
OXC6668,627
OXC6467,361
OXC6466,684
OXC6465,637
OXC6464,919
OXC6463,918
OXC6462,862
OXC6461,543
OXC6460,917
07_5583,39
07_5581,38
CAMSA350,110
CAMSA357,98
OXC6469,361
CAMSA354,110
CE2_R_11_3113,178
OXC7357,347
OXC7354,347
OXC7355,1365
OXC7353,1402
OXC7350,1400
OXC7351,1401
CI_5692,334
OXC7358,1404
OXC7359,404
CAMSA2102,124
OXC6900,403
OXC6809,811
OXC6808,1116
OXC7530,1503
OXC7495,1483
HM912030,84
OXC6800,1111
OXC6803,1113
OXC6802,1112
OXC6805,1096
OXC6804,1066
OXC6807,1115
OXC6806,1114
CAMSA3916_R,118
CE2_R2_11_3085,181
CE2_R2_11_3081,180
CE_R_11_0238,210
CAMSA3615,139
OXC5804,693
OXC7494,1482
OXC6793,1105
OXC6939,637
OXC6938,1184
OXC6935,1099
OXC6934,81
OXC6937,1183
OXC6936,1182
OXC6931,1180
OXC6930,1180
OXC6933,1181
OXC6932,983
OXC5918,765
OXC6792,361
OXC5912,764
OXC5910,414
OXC5911,763
OXC5916,702
OXC5917,758
OXC5914,681
OXC5915,347
OXC7228,1331
OXC6314,816
OXC7226,1329
OXC7227,1330
OXC7224,574
OXC7225,1245
OXC7222,783
OXC7223,342
OXC7220,345
OXC7221,574
OXC7450,927
OXC7146,1282
OXC4,377
CE_M_09_3054,190
OXC5808,693
CI_1845,279
FSA05.280042,360
OXC6583,994
CAMSA4186,110
OXC7490,1025
06_7656,17
CI_5906,232
OXC7233,1334
OXC6484_V2,930
OXC5862,581
OXC5863,731
OXC5860,730
OXC5861,482
OXC5866,411
OXC5864,732
OXC5865,361
OXC5869,361
OXC7319,571
CI_2230,279
07_6215,42
8096,67
OXC4793,476
OXC4792,478
OXC4791,477
CAMSA1044,106
OXC4797,479
OXC4795,477
OXC7316,1380
OXC4799,478
OXC4798,476
OXC6320,821
OXC6321,822
OXC6322,823
OXC6323,811
OXC6324,824
OXC6325,78
OXC6326,825
OXC6327,826
OXC6328,346
OXC6329,581
OXC5466,538
OXC5464,577
OXC5465,133
OXC5462,392
OXC5463,576
OXC5460,575
CA99CN070038,23
CI_2499,289
OXC6498,938
OXC6499,361
OXC6492,934
OXC6493,345
CAMSA75,110
OXC6491,434
OXC6496,937
OXC6497,921
OXC6494,935
OXC6495,936
OXC6258,781
OXC6259,782
CAMSA100,98
2544,61
OXC6254,411
OXC6255,581
OXC6256,780
CI_2548,292
OXC6250,778
OXC6251,770
OXC6252,655
OXC6253,779
08_0099,48
08_0096,47
08_0094,46
CJ6753_R,340
OXC6786,808
OXC6787,504
OXC6784,361
OXC6785,1103
OXC6782,339
OXC6783,361
OXC6780,1102
OXC6781,339
OXC6788,1104
OXC6789,97
OXC6540,967
OXC5679,629
CAMSA293,135
OXC5677,628
OXC5676,627
OXC5675,346
OXC5674,626
OXC5673,625
OXC5672,624
OXC5671,611
OXC5670,623
OXC6543,958
OXC6544,969
CGY_HR_013,215
CAMSA2024,84
CAMSA2021,117
CE_R_10_0273,204
CE_R2_11_0374,203
OXC6672,1043
OXC6673,983
OXC6670,1033
OXC6671,84
OXC6676,1045
OXC6677,690
OXC6674,1044
OXC6675,759
OXC6678,1046
OXC6679,410
OXC6474,497
OXC6475,922
OXC6476,923
CI_0898,265
OXC6470,655
OXC6471,497
OXC6472,497
OXC6473,921
CI_0893,265
OXC5782,681
OXC5781,680
OXC5780,679
OXC5787,677
OXC6479,925
OXC5785,682
CAMSA361,118
OXC7323,1382
OXC7322,1234
OXC7321,1381
OXC7320,78
OXC7326,1385
OXC7325,1384
BID19R,88
OXC7329,1241
OXC7328,1386
CAMSA2112,125
CAMSA2113,126
CAMSA2115,125
CGY_HR_090,225
NC16_R,366
07_5041,35
CI_0094,244
OXC6739,1081
OXC6738,1080
HM179091,84
OXC6610R_V2,1009
OXC6262,684
OXC7004,627
NC15_R,365
CJ6849_R,341
OXC7039,956
OXC7038,627
OXC7037,133
OXC7036,1134
OXC7035,1178
OXC7034,347
OXC7033,1228
OXC7032,1200
OXC7031,1227
OXC7030,852
ARI_1130_R,76
OXC6928,783
OXC6929,1179
OXC5325,504
OXC5326,505
CI_1920,174
06_5790,11
OXC6920,1176
OXC6921,1177
OXC6926,574
OXC6927,97
OXC6924,1178
OXC6925,1167
CI_0637,177
OXC7259,1349
OXC7258,1135
CI_0697,260
OXC7253,616
OXC7252,1347
OXC7251,1346
07_4428,32
08_6877,58
OXC7256,78
OXC7255,1348
OXC6816,387
OXC6532,746
OXC6814,1120
OXC6815,1121
OXC6812,342
OXC6813,1119
OXC6810,1117
OXC6811,1118
OXC6818,1120
OXC6819,1122
CAMSA4196,164
OXC6922,983
OXC7402,1426
C_391_R,97
OXC5899,616
OXC5898,757
OXC5897,756
OXC5896,755
OXC5895,460
OXC5894,754
OXC5893,753
OXC5892,752
OXC5891,751
OXC5890,750
OXC7403,1430
HM909114,84
OXC5702,627
08_5925,57
OXC4781,475
OXC4789,476
OXC4878,387
OXC4879,472
OXC6319,820
OXC6318,819
OXC6315,817
06_3569,4
OXC6317,818
OXC6316,504
OXC6311,815
OXC6310,770
OXC6313,795
OXC6312,813
OXC5418,391
OXC5413,555
OXC5412,554
OXC5411,553
OXC5410,411
OXC5417,558
OXC5416,557
OXC5414,556
OXC7489,937
OXC5879,742
CI_2950,298
OXC5878,741
OXC7482,1478
OXC6830,1128
CAMSA64,173
OXC7480,1477
OXC6269,789
OXC6268,788
OXC7481,343
CI_2004,285
OXC6261,784
OXC6260,783
OXC6263,785
CI_2009,285
OXC6265,346
OXC6264,786
OXC6267,787
OXC6266,403
ARI_916_R,86
CAMSA1052,107
CAMSA1055,108
OXC7405,1432
07_7331,45
CI_0955,268
4944,63
OXC5669,622
OXC7148,1283
OXC5664,620
OXC5665,621
CAMSA206,122
OXC5660,619
182,60
CGY_HR_009,214
08_1841,51
OXC6689,1053
OXC6688,1052
OXC6687,1051
OXC6686,1050
OXC6685,1049
OXC6684,1048
OXC6683,1047
OXC6682,465
OXC6681,430
OXC6680,811
OXC6441,905
OXC6440,504
OXC6443,906
OXC6442,906
CAMSA375,123
CAMSA374,110
OXC6447,909
OXC6446,908
CAMSA379,153
OXC5791,581
OXC5792,685
OXC5793,686
CI_0884,264
OXC5795,687
OXC5796,688
OXC5797,81
OXC7330,1387
OXC7331,1388
CE_R_11_0100,28
OXC7333,1389
OXC7334,956
OXC7335,1390
OXC7336,1391
CAMSA3962,118
CI_0405,255
OXC7463,1025
07_3853,29
CAMSA3741,98
CAMSA2164,126
OXC6944,1186
OXC6997,1211
OXC6509,945
OXC7469,1469
CE2_R_11_3009,183
CI_0450,256
OXC7024,591
OXC7025,1224
CI_0532,257
OXC7027,1226
OXC7020,345
OXC7021,1223
OXC7022,1167
OXC7023,1223
CI_1915,282
OXC5338,514
OXC5336,513
OXC5337,513
CAMSA471_R,170
OXC5335,512
OXC5332,509
OXC5333,510
OXC5330,507
OXC5331,508
OXC7248,1344
OXC7249,1240
CAMSA4212,116
OXC7240,1340
OXC7241,1341
OXC7242,410
OXC7243,1341
OXC7244,1341
OXC7245,361
OXC7246,1342
OXC7247,1343
OXC6966,1198
OXC6863,347
OXC6862,97
OXC3817,375
OXC6860,1145
OXC6867,937
OXC6866,1025
OXC6865,1146
OXC6864,1139
OXC6869,1147
OXC6868,345
CI_2328,287
CI_1660,277
06_3783,5
HM908193,84
OXC5888,749
OXC5889,361
OXC5884,746
OXC5885,747
OXC5886,607
OXC5887,748
OXC5880,743
OXC5921,574
OXC5882,744
OXC5883,745
CE_M_10_2108,197
OXC5798,689
OXC5799,690
CAMSA4031,98
OXC6444,907
CE_M_09_4099,193
OXC6449,483
OXC6308,813
OXC6309,814
OXC7529,1502
OXC6448,910
OXC6302,810
OXC6303,616
OXC6300,808
OXC6301,809
OXC6306,812
OXC6307,812
OXC6304,811
OXC6305,809
OXC5400,549
OXC5794,361
OXC5404,550
OXC5405,346
OXC5406,551
OXC5407,552
OXC7332,591
CAMSA59,172
OXC6277,345
OXC6274,627
OXC6275,793
OXC6272,792
OXC6273,791
OXC6270,790
OXC6271,791
OXC4680,346
OXC4683,447
OXC4682,446
CAMSA55,171
08_5176,52
OXC6278,795
CAMSA163,113
07_6017,40
OXC7338,1374
CAMSA1028,105
OXC7339,1392
OXC7410,1434
OXC7218,1327
CAMSA1021,104
CAMSA1020,103
OXC6595R_V2,968
OXC6575R,783
OXC7182,1302
OXC4756,451
CI_4428,322
OXC4754,465
OXC4750,464
